0;6469;7629;20036;4690;6194;11688;2243;8857;7248
6469;0;12999;13692;3322;5576;3878;3202;6699;4198
7629;12999;0;35135;5956;14121;5951;5768;16578;4242
20036;13692;35135;0;19094;35119;21423;27342;51341;15826
4690;3322;5956;19094;0;7284;3102;1562;7180;1917
6194;5576;14121;35119;7284;0;5023;3512;10419;3543
11688;3878;5951;21423;3102;5023;0;11557;6479;34261
2243;3202;5768;27342;1562;3512;11557;0;5615;7095
8857;6699;16578;51341;7180;10419;6479;5615;0;4448
7248;4198;4242;15826;1917;3543;34261;7095;4448;0
